width,height,aspect_ratio,brightness,colorfulness,sharpness,community_id,filename,quality_proxy
600.0,450.0,1.333333,106.4341,95.6222,42.2642,1288383,1288383_03.jpg,77.3455
600.0,450.0,1.333333,108.7985,72.5667,24.5492,1288383,1288383_04.jpg,66.5075
600.0,450.0,1.333333,109.3266,86.3936,25.924,1288383,1288383_05.jpg,70.497
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1289284,1289284_00.jpg,31.8543
1200.0,900.0,1.333333,241.0399,35.3535,2.0786,1289285,1289285_00.jpg,31.8543
600.0,450.0,1.333333,105.7793,79.9688,28.2925,1290778,1290778_00.jpg,68.9381
600.0,450.0,1.333333,90.3214,104.3527,32.9601,1290778,1290778_01.jpg,72.3854
600.0,450.0,1.333333,99.4231,124.628,19.5604,1290778,1290778_02.jpg,69.9756
600.0,450.0,1.333333,102.2332,78.5668,19.7105,1290778,1290778_03.jpg,65.2131
600.0,450.0,1.333333,84.1891,82.6647,20.9072,1290778,1290778_04.jpg,63.0873
600.0,450.0,1.333333,108.7836,110.5715,41.4896,1290778,1290778_05.jpg,78.6567
600.0,450.0,1.333333,97.8129,96.4796,25.1029,1294631,1294631_00.jpg,70.5131
600.0,450.0,1.333333,106.243,91.4991,34.5636,1294631,1294631_01.jpg,73.8709
600.0,450.0,1.333333,119.2838,81.4208,19.4148,1294631,1294631_02.jpg,69.1644
600.0,450.0,1.333333,129.1244,76.5912,26.3711,1294631,1294631_03.jpg,71.6136
600.0,450.0,1.333333,128.3101,76.8559,25.3584,1294631,1294631_04.jpg,71.5224
600.0,450.0,1.333333,125.4989,76.5571,22.9511,1294631,1294631_05.jpg,70.2674
600.0,450.0,1.333333,103.4251,74.7895,27.2235,1305073,1305073_00.jpg,66.8494
600.0,450.0,1.333333,102.8645,84.8384,31.8592,1305073,1305073_01.jpg,70.7008
600.0,450.0,1.333333,112.2776,75.4245,21.2342,1305073,1305073_02.jpg,66.8655
600.0,450.0,1.333333,117.0977,69.6457,27.2677,1305073,1305073_03.jpg,68.2477
600.0,450.0,1.333333,107.3761,96.6413,34.1588,1305073,1305073_04.jpg,75.2513
600.0,450.0,1.333333,92.6478,116.2027,41.2751,847281,847281_00.jpg,75.4382
600.0,450.0,1.333333,94.4385,129.0055,41.3386,847281,847281_01.jpg,75.8078
600.0,450.0,1.333333,99.9166,102.5754,37.6393,847281,847281_02.jpg,75.7217
600.0,450.0,1.333333,88.9106,96.2331,18.3668,847281,847281_03.jpg,66.6077
600.0,450.0,1.333333,105.0788,93.5877,19.5995,847281,847281_04.jpg,69.4894
600.0,450.0,1.333333,85.6928,102.3318,26.4502,847281,847281_05.jpg,69.447
600.0,450.0,1.333333,90.6791,94.5914,29.7577,847044,847044_00.jpg,70.1023
600.0,450.0,1.333333,92.4635,112.5562,40.2375,847044,847044_01.jpg,75.0779
600.0,450.0,1.333333,95.5466,106.5453,30.6769,847044,847044_02.jpg,72.6924
600.0,450.0,1.333333,114.0861,101.2349,26.2395,847044,847044_03.jpg,74.9267
600.0,450.0,1.333333,100.1506,89.8334,22.4582,847044,847044_04.jpg,68.4817
600.0,450.0,1.333333,114.3747,105.697,28.6205,847044,847044_05.jpg,75.7272
600.0,450.0,1.333333,126.5352,112.144,26.0421,944918,944918_00.jpg,77.2965
600.0,450.0,1.333333,135.0835,105.0639,28.1252,944918,944918_01.jpg,76.8501
